days_out,query_date,wtp_J,bid_J,pacing_J,sold_J,available_J,protected_J,load_factor_J,wtp_W,bid_W,pacing_W,sold_W,available_W,protected_W,load_factor_W,wtp_Y,bid_Y,pacing_Y,sold_Y,available_Y,protected_Y,load_factor_Y,bookings_this_step,group_bookings_this_step,award_bookings_this_step
365,2025-08-10,1683.84,1010.30,0.0000,0,52,27,0.0000,698.86,419.32,0.0000,0,26,11,0.0000,417.04,250.23,0.0000,0,226,144,0.0000,0,0,0
364,2025-08-11,1683.84,1683.84,1.0000,0,52,28,0.0000,698.86,698.86,1.0000,0,26,11,0.0000,417.04,250.23,0.0000,0,226,153,0.0000,0,0,0
363,2025-08-12,1683.84,1683.84,1.0000,0,52,28,0.0000,698.86,698.86,1.0000,0,26,11,0.0000,417.04,250.23,0.0000,0,226,153,0.0000,0,0,0
362,2025-08-13,1683.84,1683.84,1.0000,0,52,28,0.0000,698.86,698.86,1.0000,0,26,11,0.0000,417.04,250.23,0.0000,0,226,153,0.0000,0,0,0
361,2025-08-14,1683.84,1683.84,1.0000,0,52,28,0.0000,698.86,698.86,1.0000,0,26,11,0.0000,417.04,250.23,0.0000,0,226,153,0.0000,0,0,0
360,2025-08-15,1683.84,1683.84,1.0000,0,52,28,0.0000,698.86,698.86,1.0000,0,26,11,0.0000,417.04,250.23,0.0000,0,226,153,0.0000,0,0,0
359,2025-08-16,1683.84,1683.84,1.0000,0,52,28,0.0000,698.86,698.86,1.0000,0,26,11,0.0000,417.04,250.23,0.0000,0,226,153,0.0000,0,0,0
358,2025-08-17,1683.84,1683.84,1.0000,0,52,28,0.0000,698.86,698.86,1.0000,0,26,11,0.0000,417.04,250.23,0.0000,0,226,153,0.0000,0,0,0
357,2025-08-18,1683.84,1683.84,1.0000,0,52,28,0.0000,698.86,698.86,1.0000,0,26,11,0.0000,417.04,250.23,1590.3914,1,225,153,0.0050,0,0,1
356,2025-08-19,1683.84,1683.84,1.0000,0,52,28,0.0000,698.86,698.86,1.0000,0,26,11,0.0000,417.04,625.57,1528.0314,1,225,153,0.0050,0,0,0
